count,temperature,command,error,feedback     
     0,25,  67.50, -18.16,  49.34
     1,25,  17.00,   0.64,  17.64
     2,25, 151.50,   0.70, 152.20
     3,25, 105.50,   2.10, 107.60
     4,26,  64.00,   2.63,  66.63
     5,27,  46.00,   2.46,  48.46
     6,26,  55.00,   1.98,  56.98
     7,27,  43.00,   1.95,  44.95
     8,25, 115.50,   1.50, 117.00
     9,25,  21.00,   1.40,  22.40
    10,25, 129.00,   1.15, 130.15
    11,25,  42.50,   2.08,  44.58
    12,26,  52.50,   1.97,  54.47
    13,27, 113.50,   1.62, 115.12
    14,27,  80.50,   2.54,  83.04
    15,25,  18.50,   0.89,  19.39
    16,25,  43.50,   2.33,  45.83
    17,27,  62.00,   2.00,  64.00
    18,25, 113.50,   1.62, 115.12
    19,27,  27.50,   2.17,  29.67
    20,25,  80.50,   2.29,  82.79
    21,25, 155.00,   0.21, 155.21
    22,25,  69.00,   2.51,  71.51
    23,27,  77.00,   2.03,  79.03
    24,27,  92.50,   1.94,  94.44
    25,27, 161.50,   0.10, 161.60
    26,27, 143.50,   1.19, 144.69
    27,26,  31.00,   2.05,  33.05
    28,26,  45.00,   1.58,  46.58
    29,27, 105.00,   1.47, 106.47
    30,27,  22.00,   1.28,  23.28
    31,27,  68.00,   2.01,  70.01
    32,25, 155.00,   0.34, 155.34
    33,27,  95.50,   2.08,  97.58
    34,27, 166.50,  -0.39, 166.11
    35,27,  57.00,   2.49,  59.49
    36,27, 140.50,   0.68, 141.18
    37,25,  12.00,  -0.13,  11.87
    38,27, 144.00,   0.44, 144.44
    39,27, 110.00,   1.86, 111.86
    40,27,  30.50,   2.05,  32.55
    41,27,  67.50,   2.39,  69.89
    42,27,  27.50,   1.66,  29.16
    43,26,  20.50,   1.65,  22.15
    44,27,  34.00,   2.18,  36.18
    45,27, 164.50,  -0.14, 164.36
    46,27,  76.00,   2.53,  78.53
    47,27,  46.00,   2.08,  48.08
    48,27, 148.50,   0.57, 149.07
    49,27, 162.00,  -0.27, 161.73
    50,27, 103.50,   2.09, 105.59
    51,27, 153.50,   0.33, 153.83
    52,25,  38.50,   2.19,  40.69
