count,temperature,command,error,feedback     
     0,25, 123.00, -95.96,  27.04
     1,25, 141.00,-113.96,  27.04
     2,25,  88.50, -61.46,  27.04
     3,25, 157.50,-130.46,  27.04
     4,25, 119.00, -91.96,  27.04
     5,25, 142.50,-115.46,  27.04
     6,25, 155.00,-127.96,  27.04
     7,25,  74.50, -47.46,  27.04
     8,25,  81.00, -53.96,  27.04
     9,25,  35.50,  -8.46,  27.04
    10,25, 114.50, -87.46,  27.04
    11,25,  50.00, -22.96,  27.04
    12,25, 107.50, -80.46,  27.04
    13,25, 167.50,-140.46,  27.04
    14,25, 159.00,-131.96,  27.04
    15,25,  90.00, -62.96,  27.04
    16,25, 110.50, -83.46,  27.04
    17,25,  14.50,  12.54,  27.04
    18,25, 122.00, -94.96,  27.04
    19,25,  75.50, -48.46,  27.04
    20,25, 141.00,-113.96,  27.04
    21,25, 116.50, -89.46,  27.04
    22,25, 109.50, -82.46,  27.04
    23,25,  13.00,  14.04,  27.04
    24,25, 141.00,-113.96,  27.04
    25,25, 151.00,-123.96,  27.04
    26,25,  62.50, -35.46,  27.04
    27,25,  70.00, -42.96,  27.04
    28,25,  53.00, -25.96,  27.04
    29,25,  90.00, -62.96,  27.04
    30,25, 141.50,-114.46,  27.04
    31,25,  46.00, -18.96,  27.04
    32,25,  42.00, -14.96,  27.04
    33,25,  47.50, -20.46,  27.04
    34,25,  74.50, -47.46,  27.04
    35,25,  81.50, -54.46,  27.04
    36,25,  81.50, -54.46,  27.04
    37,25,  80.50, -53.46,  27.04
    38,25,  44.00, -16.96,  27.04
    39,25, 152.00,-124.96,  27.04
    40,25,  83.00, -55.96,  27.04
    41,25, 146.00,-118.96,  27.04
    42,25, 111.00, -83.96,  27.04
    43,25, 113.50, -86.46,  27.04
    44,25, 122.00, -94.96,  27.04
    45,25,  70.50, -43.46,  27.04
    46,25,  72.50, -45.46,  27.04
    47,25, 112.00, -84.96,  27.04
    48,25, 120.50, -93.46,  27.04
    49,25,  19.50,   7.54,  27.04
    50,25,  91.50, -64.46,  27.04
    51,25,  61.00, -33.96,  27.04
    52,25,  59.50, -32.46,  27.04
    53,25, 142.00,-114.96,  27.04
    54,25, 154.50,-127.46,  27.04
    55,25, 118.50, -91.46,  27.04
    56,25,  69.50, -42.46,  27.04
    57,25, 116.50, -89.46,  27.04
    58,25, 105.00, -77.96,  27.04
    59,25, 160.00,-132.96,  27.04
    60,25, 118.50, -91.46,  27.04
    61,25,  25.00,   2.04,  27.04
    62,25, 110.00, -82.96,  27.04
    63,25,  38.00, -10.96,  27.04
    64,25, 166.00,-138.96,  27.04
    65,25, 139.50,-112.46,  27.04
    66,25,  91.00, -63.96,  27.04
    67,25, 162.50,-135.46,  27.04
    68,25, 114.00, -86.96,  27.04
    69,25,  65.00, -37.96,  27.04
    70,25, 121.00, -93.96,  27.04
    71,25, 161.00,-133.96,  27.04
    72,25, 129.50,-102.46,  27.04
    73,25,  68.00, -40.96,  27.04
    74,25, 124.00, -96.96,  27.04
    75,25, 127.00, -99.96,  27.04
    76,25,  54.00, -26.96,  27.04
    77,25, 164.50,-137.46,  27.04
    78,25, 134.00,-106.96,  27.04
    79,25,  96.50, -69.46,  27.04
    80,25,  78.00, -50.96,  27.04
    81,25, 125.00, -97.96,  27.04
    82,25, 134.50,-107.46,  27.04
    83,25, 151.00,-123.96,  27.04
    84,25,  98.00, -70.96,  27.04
    85,25, 104.50, -77.46,  27.04
    86,25,  38.50, -11.46,  27.04
    87,25,  55.50, -28.46,  27.04
    88,25, 130.00,-102.96,  27.04
    89,25,  62.50, -35.46,  27.04
    90,25, 106.50, -79.46,  27.04
    91,25,  11.50,  15.54,  27.04
    92,25,  74.50, -47.46,  27.04
    93,25,  24.00,   3.04,  27.04
    94,25, 104.50, -77.46,  27.04
    95,25,  81.50, -54.46,  27.04
    96,25, 147.50,-120.46,  27.04
    97,25, 128.50,-101.46,  27.04
    98,25, 168.00,-140.96,  27.04
    99,25,  51.00, -23.96,  27.04
   100,25, 131.00,-103.96,  27.04
   101,25,  42.00, -14.96,  27.04
   102,25, 124.00, -96.96,  27.04
   103,25, 160.00,-132.96,  27.04
   104,25,  85.00, -57.96,  27.04
   105,25, 164.00,-136.96,  27.04
   106,25,  33.00,  -5.96,  27.04
   107,25,  67.00, -39.96,  27.04
   108,25, 145.50,-118.46,  27.04
   109,25, 144.50,-117.46,  27.04
   110,25, 121.00, -93.96,  27.04
   111,25, 124.00, -96.96,  27.04
   112,25, 140.00,-112.96,  27.04
   113,25, 159.00,-131.96,  27.04
   114,25, 166.00,-138.96,  27.04
   115,25,  56.50, -29.46,  27.04
   116,25,  67.50, -40.46,  27.04
   117,25, 113.50, -86.46,  27.04
   118,25, 138.50,-111.46,  27.04
   119,25,
